Nationality,Total,Porcentaje,ISO_Code,Continent,capital_coordinates
Burkina Faso,1,0.0,BFA,Africa,"9 2m 5.01792s N, 7 27m 58.848s E"
Vanuatu,1,0.0,VUT,Oceania,"35 19m 4.24272s S, 149 5m 45.9852s E"
Cambodia,1,0.0,KHM,Asia,"14 28m 53.5627s N, 121 2m 13.943s E"
Bermuda,1,0.0,BMU,North America,"14 31m 3.12384s N, 121 2m 5.88372s E"
Norfolk Island,1,0.0,NFK,Oceania,"52 36m 19.9872s N, 1 43m 42.442s E"
Djibouti,1,0.0,DJI,Africa,"11 35m 41.4586s N, 43 8m 51.8046s E"
Guadeloupe,1,0.0,GLP,North America,"14 41m 49.006s N, 121 3m 11.5193s E"
Aruba,1,0.0,ABW,North America,"31 28m 50.574s S, 64 14m 39.5714s W"
Slovenia,1,0.0,SVN,Europe,"35 21m 6.85836s S, 149 6m 57.5481s E"
Gibraltar,1,0.0,GIB,Europe,"4 31m 30.5537s N, 75 42m 37.4285s W"
Luxembourg,1,0.0,LUX,Europe,"14 29m 11.9933s N, 121 1m 12.6382s E"
